record_id,date,month,branch_id,branch_name,city,ingredient,ingredient_category,unit,supplier,qty_ordered,unit_price,total_purchase_cost,qty_wasted,waste_cost,waste_pct,waste_reason,current_stock,min_stock,stock_status,needs_reorder,reorder_frequency,shelf_life_days,year_month
INV-00001,2026-01-18,January,SUC005,Puebla,Puebla,Cebolla,Verduras,kg,Verduras Frescas SA,30,20.36,610.8,5.73,116.66,19.1,Daño en almacenamiento,10.4,7.5,Normal,False,Semanal,14,2026-01
INV-00002,2025-07-07,July,SUC002,Ciudad de México Sur,Ciudad de México,Pollo,Carnes,kg,Carnes Selectas MX,42,89.24,3748.08,8.83,787.99,21.02,Daño en almacenamiento,23.0,10.5,Alto,False,Diario,4,2025-07
INV-00003,2025-12-15,December,SUC003,Guadalajara,Guadalajara,Chile Poblano,Verduras,kg,Verduras Frescas SA,28,49.24,1378.72,2.23,109.81,7.96,Caducidad,19.5,7.0,Alto,False,Semanal,7,2025-12
INV-00004,2025-03-17,March,SUC003,Guadalajara,Guadalajara,Cebolla,Verduras,kg,Verduras Frescas SA,19,20.77,394.63,1.13,23.47,5.95,Daño en almacenamiento,6.6,4.8,Normal,False,Semanal,14,2025-03
INV-00005,2025-10-20,October,SUC001,Ciudad de México Centro,Ciudad de México,Frijoles,Básicos,kg,Distribuidora del Centro,38,33.97,1290.86,2.07,70.32,5.45,Exceso de pedido,22.8,9.5,Alto,False,Quincenal,180,2025-10
INV-00006,2025-03-11,March,SUC010,León,León,Pollo,Carnes,kg,Carnes Selectas MX,20,90.28,1805.6,4.05,365.63,20.25,Caducidad,13.2,5.0,Alto,False,Diario,4,2025-03
INV-00007,2025-07-27,July,SUC001,Ciudad de México Centro,Ciudad de México,Chile Poblano,Verduras,kg,Verduras Frescas SA,50,46.93,2346.5,4.65,218.22,9.3,Caducidad,25.8,12.5,Alto,False,Semanal,7,2025-07
INV-00008,2025-05-26,May,SUC005,Puebla,Puebla,Salsa Verde,Salsas,litro,Distribuidora del Centro,21,60.37,1267.77,6.3,380.33,30.0,Caducidad,13.6,5.2,Alto,False,Semanal,7,2025-05
INV-00009,2025-03-08,March,SUC010,León,León,Tequila,Bebidas,botella,Bebidas del Norte,35,339.05,11866.75,7.95,2695.45,22.71,Devolución cliente,16.2,8.8,Alto,False,Quincenal,365,2025-03
INV-00010,2025-03-29,March,SUC006,Querétaro,Querétaro,Tequila,Bebidas,botella,Bebidas del Norte,36,349.34,12576.24,4.7,1641.9,13.06,Exceso de pedido,27.2,9.0,Alto,False,Quincenal,365,2025-03
INV-00011,2025-07-11,July,SUC006,Querétaro,Querétaro,Frijoles,Básicos,kg,Distribuidora del Centro,12,31.58,378.96,0.97,30.63,8.08,Error de preparación,9.0,3.0,Alto,False,Quincenal,180,2025-07
INV-00012,2025-08-20,August,SUC007,Cancún,Cancún,Crema,Lácteos,litro,Lácteos Premium,16,42.61,681.76,1.73,73.72,10.81,Exceso de pedido,11.2,4.0,Alto,False,Semanal,14,2025-08
INV-00013,2025-10-22,October,SUC003,Guadalajara,Guadalajara,Aguacate,Verduras,kg,Verduras Frescas SA,31,83.39,2585.09,4.32,360.24,13.94,Caducidad,23.1,7.8,Alto,False,Diario,4,2025-10
INV-00014,2025-06-06,June,SUC001,Ciudad de México Centro,Ciudad de México,Cilantro,Verduras,manojo,Verduras Frescas SA,12,7.49,89.88,0.84,6.29,7.0,Caducidad,9.1,3.0,Alto,False,Diario,3,2025-06
INV-00015,2025-08-30,August,SUC003,Guadalajara,Guadalajara,Pollo,Carnes,kg,Carnes Selectas MX,47,77.87,3659.89,4.05,315.37,8.62,Exceso de pedido,19.3,11.8,Alto,False,Diario,4,2025-08
INV-00016,2026-01-09,January,SUC009,Tijuana,Tijuana,Cerveza,Bebidas,caja,Bebidas del Norte,28,303.48,8497.44,3.66,1110.74,13.07,Devolución cliente,6.0,7.0,Bajo,True,Quincenal,180,2026-01
INV-00017,2025-09-10,September,SUC004,Monterrey,Monterrey,Cebolla,Verduras,kg,Verduras Frescas SA,13,20.99,272.87,0.88,18.47,6.77,Caducidad,3.1,3.2,Bajo,True,Semanal,14,2025-09
INV-00018,2025-02-05,February,SUC001,Ciudad de México Centro,Ciudad de México,Limón,Verduras,kg,Verduras Frescas SA,32,27.07,866.24,2.73,73.9,8.53,Caducidad,18.5,8.0,Alto,False,Semanal,14,2025-02
INV-00019,2025-03-10,March,SUC006,Querétaro,Querétaro,Carne de Cerdo,Carnes,kg,Carnes Selectas MX,23,116.71,2684.33,4.2,490.18,18.26,Caducidad,6.0,5.8,Normal,False,Diario,5,2025-03
INV-00020,2025-04-20,April,SUC001,Ciudad de México Centro,Ciudad de México,Cebolla,Verduras,kg,Verduras Frescas SA,43,22.13,951.59,4.62,102.24,10.74,Devolución cliente,15.2,10.8,Normal,False,Semanal,14,2025-04
